工具类别,工具名称,简介,官网链接,Logo链接,Logo本地路径
AI创新工具,豆包,字节跳动推出的免费AI智能助手,http://ai-w3cschool.com,https://ai-bot.cn/wp-content/uploads/2023/08/doubao-icon.png,E:\PNG\site-4189.png
AI创新工具,即梦AI,字节跳动推出的一站式AI创作平台,https://jimeng.jianying.com/,https://ai-bot.cn/wp-content/uploads/2024/10/jimeng-logo-1.png,E:\PNG\site-17772.png
AI创新工具,扣子PPT,免费一键生成精美PPT,https://www.coze.cn/s/NvLQGqfiwSk,https://ai-bot.cn/wp-content/uploads/2023/12/coze-ai-icon.png,E:\PNG\site-56314.png
AI创新工具,AiPPT,AI快速生成高质量PPT,https://www.aippt.cn/?utm_type=Navweb&utm_source=ai-bot&utm_page=aippt&utm_plan=ppt&utm_unit=AIPPT&utm_keyword=50608,https://ai-bot.cn/wp-content/uploads/2025/05/AiPPT-logo-0526.png,E:\PNG\site-2644.png
AI搜索引擎,秘塔AI搜索,最好用的AI搜索工具，没有广告，直达结果,https://metaso.cn/?s=aibot1&referrer_s=aibot1,https://ai-bot.cn/wp-content/uploads/2024/06/metaso-ai-search-icon.png,E:\PNG\site-9499.png
AI编程工具,TRAE编程,字节跳动推出的免费AI编程工具，基于Claude模型,https://www.trae.cn/?utm_source=advertising&utm_medium=aibot_ug_cpa&utm_term=hw_trae_aibot,https://ai-bot.cn/wp-content/uploads/2025/07/trae.ai-logo.png,E:\PNG\site-39108.png
,,,,,
AI创新工具,美图设计室,AI图像创作和设计平台,https://www.designkit.com/tools?channel=10026,https://ai-bot.cn/wp-content/uploads/2023/04/meitu-ai-ppt.jpg,E:\PNG\site-2400.png
AI营销工具,绘蛙,AI电商营销工具，免费生成商品图,https://ihuiwa.paluai.com/aibot,https://ai-bot.cn/wp-content/uploads/2024/03/ihuiwa-icon.png,E:\PNG\site-9195.png
AI数据分析,办公小浣熊,最强AI数据分析助手,https://www.xiaohuanxiong.com/login?utm_source=blmay1,https://ai-bot.cn/wp-content/uploads/2023/12/sensetime-raccoon-code-icon.png,E:\PNG\site-8516.png
AI创新工具,讯飞星辰Agent,科大讯飞推出的AI智能体开发平台,https://agent.xfyun.cn/home?ch=xcagent-aitool1,https://ai-bot.cn/wp-content/uploads/2025/04/xunfei-xingchen-agent-logo-1.jpg,E:\PNG\site-50068.png
AI创新工具,稿定AI设计,一站式AI设计与灵感创作平台,https://www.gaoding.com/utms/d44f184224104cd5a6705762888408ca,https://ai-bot.cn/wp-content/uploads/2023/05/gaoding-design-icon.png,E:\PNG\site-48847.png
AI创新工具,Opera Neon,Opera推出的全新AI Agent浏览器,https://www.operaneon.com/?utm_source=ai-bot.cn,https://ai-bot.cn/wp-content/uploads/2025/10/Opera-Neon-website-2.png,E:\PNG\site-64120.png
AI搜索引擎,找我呀,本地AI知识助手，文件搜索和智能问答工具,http://www.findme.net.cn?utm_source=ai-bot.cn,https://ai-bot.cn/wp-content/uploads/2025/09/Findme-icon.png,E:\PNG\site-63755.png
